Ticker,YearMonth,DailyReturn,Return_7d,Return_14d,Return_30d,Volatility_14d,Volatility_30d,DownsideVol_30d,Sharpe_30d,MA_Spread,RSI_14,Volume_norm,BB_Position,MACD_Signal,Volume_Surge,Momentum_Accel,ATR_norm,Position_52w,Return_12m_skip1,Vol_Regime,MeanRev_Z,ESG_Score,Forward_Return,Regime,ESG_Risk_Label,Anomaly_Score,Anomaly_Raw
LNT,2020-03,-0.0450858038456156,0.1864870416850674,-0.0639656778011646,-0.1974405671754142,0.0703209348859469,0.0529951596313069,0.0296230897671136,-1.7844588487222484,-0.0706311808580985,46.49087322521222,0.0101161265348051,0.4448915729681342,0.3588236533564157,0.9900979881217136,0.3839276088604817,0.0938082586127188,0.4112986653734758,0.2151050937635585,4.192752005166152,-1.260047012845804,825.0,0.0053840573329606,COVID crash,2,-1,-0.6376633254664462
LNT,2022-09,-0.0284193058431234,-0.1210812968718811,-0.1652489103452609,-0.1742245361362496,0.0186489664324071,0.0164115062905838,0.0119117718944242,-6.025657256735239,-0.1300944750233036,22.86032755297603,0.0490581403422328,-0.122673652644878,-0.7681706722303641,1.680044442228663,0.0531432392643684,0.0305043900153626,0.0,0.1222333533409001,1.166821035293493,-2.7168481280324994,825.0,-0.0154745051511389,rate-hike bear,2,-1,-0.561561948890072
LOW,2020-03,-0.029985400406378,0.2967148617617559,-0.1321229799492274,-0.3017121733603418,0.0994952641729356,0.0753940311795427,0.0523988738509382,-1.8908593110776928,-0.1098460557167993,45.3427661975407,-0.0235667314153884,0.4870456729515508,1.929247277295131,0.5973059218031745,0.5984270351220977,0.1120196314648702,0.341673430988874,0.0389738246134481,4.127129508895775,-1.2534963233890617,706.0,0.2173156803613325,COVID crash,2,-1,-0.6880103808268933
LOW,2020-05,0.0174056030552223,0.1153418885492949,0.1411189856145831,0.4183039254797216,0.0167513427856899,0.0193151566477994,0.006448267342783,9.776275088280268,0.1816881853413786,81.26117491101826,0.0155543826441217,0.9894545801489818,0.9709123798003336,1.1005177726483717,-0.3029620369304266,0.0326538603416373,0.9999999999831168,0.1543485295135387,0.6234656953039533,1.9703203527359356,706.0,0.0365936253337446,COVID recovery,2,-1,-0.5648707096785297
LRCX,2019-01,-0.0078980168868094,0.2122386523741184,0.1729961075517321,0.2498526333204493,0.0481841920630316,0.0402247168949099,0.0159235439876013,3.239848924316281,0.1868813997177341,69.84399415948889,0.0047956249989847,0.9192366199288184,0.2873986182264801,0.8596925177051927,-0.0376139809463309,0.0421293284981843,0.4582849242652844,-0.2717423160126013,1.6824176378431697,2.4987844842160043,705.0,0.0383890205212023,2018 volatility,2,-1,-0.5559532732231837
LRCX,2020-03,-0.0599295190051244,0.2850060042058899,-0.1272103680734858,-0.2578847209415937,0.111461672143671,0.0805971189193084,0.0494597695327826,-1.3232069485461415,-0.0892611094394965,46.78531944964604,0.0019296901618702,0.4711717620802783,0.4548590101690759,0.9559903082172374,0.5428907251474837,0.120689476775902,0.4168769593911238,0.6507506611152032,2.9375829547605035,-1.2026565883079074,705.0,0.0700473838191855,COVID crash,2,-1,-0.6901331709687827
LRCX,2020-04,-0.088252964981511,0.0478184732315416,-0.0116150345163315,0.3228157241546514,0.0571117939039972,0.0689873871164795,0.0288151024383705,2.661866889746198,0.0285882720232909,48.62181963211192,0.0290130493161399,0.4361557194245276,0.067765327653563,1.7392802330316033,-0.2749972509231098,0.0615989662305936,0.5063873904610393,0.2017482269521637,1.813724589740152,-0.3993696108288332,705.0,0.0720388255428161,COVID recovery,2,-1,-0.6316701841945869
LRCX,2022-01,0.051288699540166,-0.0480093385266212,-0.1119539078481884,-0.1212011921676675,0.0434588747366784,0.0331200051140295,0.0223196661382952,-1.802721673815337,-0.1154804276426996,39.70922157498657,0.0186550083913685,0.2226593696009179,-1.059949016251223,1.0341740079413675,0.0731918536410463,0.0669412974194022,0.3963275991632397,0.4455586794461166,1.598548504933095,-1.6147414417855883,705.0,-0.0484303765991736,rate-hike bear,2,-1,-0.5695174934971413
LRCX,2022-09,-0.0122794125182328,-0.0819016887616161,-0.1785896148426757,-0.2697666779760832,0.0184772945852401,0.022203766994079,0.0168533043490427,-7.280381232255671,-0.1325950512175312,27.231244070355046,0.0253098119424805,0.1146213407284198,-0.2566106740340517,1.458452700173416,0.187864989214467,0.0394096541895082,0.0,-0.2238226214093865,0.6788308440209947,-1.847882255470599,705.0,0.110238496308668,rate-hike bear,2,-1,-0.5728331273714057
LRCX,2022-11,0.0686119379118412,0.0343330736968814,0.091602033289122,0.4667453547133915,0.0469105441393108,0.0388019566052255,0.0168735047530604,5.548211406797658,0.1039588536930635,60.37145996290069,0.0110625359593968,0.6856300147708254,-0.2742773831452523,1.2033641162727402,-0.4324122810165101,0.045385704868653,0.3865217522737571,-0.3970422316451093,1.1446389676238264,1.434965421470471,705.0,-0.1102502857973536,rate-hike bear,2,-1,-0.568381047954455
